iter	Passed	Remaining
0	143	142936
1	144	72045
2	145	48265
3	146	36375
4	146	29251
5	147	24500
6	148	21104
7	149	18559
8	150	16558
9	151	14989
10	152	13687
11	153	12600
12	153	11676
13	154	10906
14	155	10216
15	156	9611
16	157	9080
17	157	8609
18	158	8183
19	159	7803
20	159	7458
21	160	7147
22	161	6870
23	162	6623
24	163	6378
25	164	6164
26	165	5958
27	166	5764
28	166	5582
29	167	5416
30	168	5264
31	169	5117
32	169	4979
33	170	4851
34	171	4728
35	172	4612
36	173	4503
37	173	4400
38	174	4302
39	175	4209
40	176	4121
41	177	4040
42	177	3961
43	178	3885
44	179	3818
45	180	3753
46	181	3685
47	182	3624
48	183	3563
49	184	3501
50	185	3442
51	185	3385
52	186	3330
53	187	3277
54	187	3226
55	188	3178
56	189	3130
57	189	3084
58	190	3040
59	191	2999
60	192	2958
61	192	2919
62	193	2880
63	194	2842
64	195	2805
65	195	2770
66	196	2737
67	197	2706
68	198	2675
69	199	2643
70	199	2612
71	200	2582
72	201	2554
73	201	2526
74	202	2500
75	203	2475
76	204	2450
77	205	2425
78	205	2401
79	206	2378
80	207	2355
81	208	2331
82	208	2305
83	209	2282
84	210	2261
85	210	2240
86	211	2220
87	212	2202
88	213	2184
89	214	2165
90	214	2146
91	215	2128
92	216	2110
93	217	2093
94	217	2076
95	218	2060
96	219	2043
97	220	2027
98	221	2011
99	221	1996
100	222	1982
101	223	1967
102	224	1953
103	225	1938
104	225	1924
105	226	1911
106	227	1899
107	228	1886
108	229	1873
109	229	1859
110	230	1847
111	231	1835
112	232	1823
113	233	1811
114	233	1799
115	234	1788
116	235	1776
117	236	1764
118	236	1753
119	237	1742
120	238	1732
121	239	1720
122	239	1709
123	240	1698
124	241	1688
125	242	1680
126	242	1669
127	243	1659
128	244	1650
129	245	1640
130	245	1631
131	246	1622
132	247	1612
133	248	1603
134	248	1595
135	249	1586
136	250	1577
137	251	1568
138	251	1560
139	252	1552
140	253	1543
141	253	1533
142	254	1525
143	255	1518
144	256	1510
145	257	1503
146	257	1496
147	258	1488
148	259	1481
149	260	1473
150	260	1466
151	261	1460
152	262	1453
153	263	1449
154	265	1445
155	266	1442
156	268	1439
157	269	1436
158	270	1432
159	272	1429
160	273	1424
161	274	1421
162	276	1417
163	277	1415
164	279	1413
165	280	1411
166	282	1407
167	283	1406
168	285	1404
169	287	1402
170	289	1401
171	290	1400
172	292	1398
173	294	1397
174	296	1395
175	297	1394
176	299	1392
177	301	1390
178	302	1386
179	303	1381
180	304	1376
181	305	1372
182	306	1369
183	307	1363
184	308	1357
185	309	1352
186	309	1346
187	310	1341
188	311	1335
189	312	1330
190	312	1325
191	313	1320
192	314	1315
193	315	1310
194	316	1305
195	317	1300
196	317	1295
197	318	1290
198	319	1286
199	320	1281
200	321	1277
201	322	1272
202	323	1268
203	323	1263
204	324	1259
205	325	1254
206	326	1250
207	327	1245
208	327	1241
209	328	1236
210	329	1232
211	330	1227
212	331	1223
213	332	1219
214	332	1215
215	333	1211
216	334	1207
217	335	1204
218	336	1199
219	337	1196
220	338	1191
221	339	1188
222	339	1184
223	340	1180
224	341	1176
225	342	1173
226	343	1169
227	344	1166
228	345	1162
229	346	1158
230	346	1154
231	347	1151
232	348	1148
233	349	1144
234	350	1141
235	351	1137
236	352	1134
237	353	1130
238	353	1126
239	354	1123
240	355	1119
241	356	1115
242	357	1112
243	357	1109
244	358	1105
245	359	1102
246	360	1099
247	361	1095
248	362	1092
249	362	1088
250	363	1085
251	364	1082
252	365	1079
253	366	1075
254	367	1072
255	367	1069
256	368	1066
257	369	1062
258	370	1059
259	371	1056
260	371	1053
261	372	1049
262	373	1046
263	374	1043
264	374	1040
265	375	1037
266	376	1034
267	377	1031
268	378	1028
269	379	1026
270	380	1023
271	381	1020
272	382	1017
273	382	1014
274	383	1011
275	384	1008
276	385	1005
277	385	1002
278	386	999
279	387	996
280	388	993
281	389	992
282	390	989
283	391	985
284	391	982
285	392	979
286	393	976
287	394	974
288	394	971
289	395	968
290	396	965
291	396	962
292	397	959
293	398	956
294	399	954
295	400	951
296	400	948
297	401	945
298	402	943
299	405	945
300	406	942
301	406	940
302	407	937
303	408	935
304	409	933
305	410	930
306	411	928
307	411	925
308	412	923
309	413	920
310	414	918
311	415	915
312	415	912
313	416	910
314	417	907
315	418	905
316	419	902
317	419	900
318	420	897
319	421	895
320	421	892
321	422	890
322	423	887
323	424	885
324	425	883
325	426	880
326	426	878
327	427	875
328	428	873
329	429	871
330	429	868
331	430	866
332	431	864
333	432	862
334	433	859
335	433	857
336	434	855
337	435	852
338	436	850
339	437	848
340	437	846
341	438	844
342	439	842
343	440	839
344	441	837
345	441	835
346	442	832
347	443	830
348	444	828
349	444	826
350	445	824
351	446	822
352	447	820
353	448	818
354	449	815
355	449	813
356	450	811
357	451	809
358	452	807
359	452	804
